smsm8658@google.com,DTM Alert,2024-07-03T15:16:06Z,low,"Service: mediafire.com, URL: https://mediafire.com"
del-ete@google.com,stealc,2024-07-10T17:58:01Z,high,"Service: www.dating.com, URL: https://www.dating.com/lpasfm4/"
asaddodhy@google.com,atomic,2024-08-01T15:38:42Z,low,Service: star.bitworkscompany.uk
porttitor.tellus.non@google.com,DTM Alert,2024-07-03T12:15:27Z,low,"Service: juba.mycportal.com, URL: https://juba.mycportal.com/Account/Login"
NEXUS@google.com,ccmp,2025-05-18T10:13:52.347Z,LOW,"Leaked Employee Credentials from ""google.com"""
rlarua1229@google.com,redline,2024-01-08T16:01:53Z,low,Service: www.netflix.com
byteit@google.com,DTM Alert,2024-07-03T15:16:06Z,low,Service: storytel.com
byteit@google.com,DTM Alert,2024-07-03T15:16:06Z,low,"Service: storytel.com, URL: https://storytel.com"
smsm8658@google.com,DTM Alert,2024-07-03T15:16:06Z,low,Service: mediafire.com
diego.bienaime@google.com,redline,2022-06-17T11:53:05Z,high,"Service: www.driveridentifier.com, URL: https://www.driveridentifier.com/user_register.php"
Spotifyusuarioazul2@google.com,redline,2022-12-08T15:51:41Z,high,Service: accounts.spotify.com
mpalar3@uber-cmldo.corp-partner.google.com,ccmp,2025-05-18T10:16:13.152Z,LOW,"Leaked Employee Credentials from ""google.com"""
backupofmine064@google.com,redline,2022-07-05T13:15:06Z,high,"Service: discord.com, URL: https://discord.com/channels/@me/970942494680428594"
ahmedpolra@google.com,DTM Alert,2022-07-18T06:18:44Z,high,"Service: bitoasis.net, URL: https://bitoasis.net/en/register"
porttitor.tellus.non@google.com,DTM Alert,2024-07-03T12:15:27Z,low,Service: juba.mycportal.com
porttitor.tellus.non@google.com,DTM Alert,2024-07-03T15:16:06Z,low,Service: juba.mycportal.com
squad8@google.com,redline,2022-06-20T21:57:52Z,high,Service: login.tidal.com
nenad.agatic@mail.google.com,DTM Alert,2024-07-03T09:24:18Z,low,"Service: webauth.tomato.com.hr, URL: https://webauth.tomato.com.hr"
shahhafiz2016@google.com,redline,2022-07-02T15:33:55Z,high,"Service: www.herozerogame.com, URL: https://www.herozerogame.com/"
diego.bienaime@google.com,redline,2022-06-17T11:53:05Z,high,Service: www.driveridentifier.com
vitormartinssp56@google.com,redline,2022-06-28T09:43:54Z,high,Service: snip.ly
sarifudinhitamputih@google.com,redline,2022-07-03T15:53:06Z,high,Service: www.jasaview.com
mailnickynicky@google.com,DTM Alert,2024-07-03T15:16:06Z,low,"Service: com.netgear.netgearup, URL: https://com.netgear.netgearup/"
sarifudinhitamputih@google.com,redline,2022-07-03T15:53:06Z,high,"Service: www.jasaview.com, URL: https://www.jasaview.com/register/"
imwayfun@google.com,eternity,2022-08-26T10:08:05Z,high,"Service: buddyplay.net, URL: https://buddyplay.net"
val061680@google.com,DTM Alert,2024-06-30T19:14:09Z,low,Service: epicgames.com
Garylafchase@google.com,DTM Alert,2024-06-30T19:14:09Z,low,Service: testerup.com
titekubo@google.com,stealc,2024-07-30T19:08:07Z,low,"Service: auth.scribd.com, URL: https://auth.scribd.com/u/signup"
backupofmine064@google.com,redline,2022-07-05T13:15:06Z,high,Service: discord.com
khaledazzouzi@google.com,DTM Alert,2024-06-30T19:14:09Z,low,Service: noip.com
peteroussa@google.com,redline,2022-06-15T12:43:33Z,high,Service: www.amazon.co.uk
booooobs@google.com,DTM Alert,2024-06-30T19:14:09Z,low,Service: wizbet.com
khaledazzouzi@google.com,DTM Alert,2024-06-30T19:14:09Z,low,"Service: noip.com, URL: https://noip.com/sign-up"
shahhafiz2016@google.com,redline,2022-07-02T15:33:55Z,high,"Service: browserquest.herokuapp.com, URL: https://browserquest.herokuapp.com/"
squad8@google.com,redline,2022-06-20T21:57:52Z,high,"Service: login.tidal.com, URL: https://login.tidal.com/"
info.shaanvis@google.com,DTM Alert,2024-07-03T15:16:06Z,low,"Service: amazon.in, URL: https://amazon.in"
vitormartinssp56@google.com,redline,2022-06-28T09:43:54Z,high,Service: omeulink.com
shahhafiz2016@google.com,redline,2022-07-02T15:33:55Z,high,Service: browserquest.herokuapp.com
julioaguiar@externalworkforce.google.com,DTM Alert,2024-07-03T09:24:18Z,low,"Service: app-vlc.hotmart.com, URL: https://app-vlc.hotmart.com/signup"
asaddodhy@google.com,atomic,2024-08-01T15:38:42Z,low,"Service: star.bitworkscompany.uk, URL: http://star.bitworkscompany.uk/form/signup"
peteroussa@google.com,redline,2022-06-15T12:43:33Z,high,"Service: www.amazon.co.uk, URL: https://www.amazon.co.uk/ap/register"
titekubo@google.com,stealc,2024-07-30T19:08:07Z,low,Service: web.facebook.com
nahid.hasan@google.com,lummac.v2,2024-07-13T01:13:00Z,low,"Service: static.olymptrade.com, URL: https://static.olymptrade.com/lands/LPL45-04en/index.html"
booooobs@google.com,DTM Alert,2024-06-30T19:14:09Z,low,"Service: wizbet.com, URL: https://wizbet.com/login/"
vitormartinssp56@google.com,redline,2022-06-28T09:43:54Z,high,"Service: omeulink.com, URL: https://omeulink.com/index.php"
nahidhasan@google.com,lummac.v2,2024-07-13T01:13:00Z,low,Service: static.olymptrade.com
titekubo@google.com,stealc,2024-07-30T19:08:07Z,low,"Service: web.facebook.com, URL: https://web.facebook.com/login/"
info.shaanvis@google.com,DTM Alert,2024-07-03T15:16:06Z,low,Service: amazon.in
Spotifyusuarioazul2@google.com,redline,2022-12-08T15:51:41Z,high,"Service: accounts.spotify.com, URL: https://accounts.spotify.com/es/login/"
Garylafchase@google.com,DTM Alert,2024-06-30T19:14:09Z,low,"Service: testerup.com, URL: https://testerup.com/earn_money/registration/"
mailnickynicky@google.com,DTM Alert,2024-07-03T15:16:06Z,low,Service: com.netgear.netgearup
titekubo@google.com,stealc,2024-07-30T19:08:07Z,low,Service: auth.scribd.com
asad@google.com,atomic,2024-08-01T15:38:42Z,low,"Service: star.bitworkscompany.uk, URL: http://star.bitworkscompany.uk/form/signup"
porttitor.tellus.non@google.com,DTM Alert,2024-07-03T12:15:27Z,low,"Service: zender.ro, URL: https://zender.ro/dashboard/authenticate/login"
julioaguiar@externalworkforce.google.com,DTM Alert,2024-07-03T09:24:18Z,low,Service: app-vlc.hotmart.com
prabal70@google.com,DTM Alert,2024-07-03T15:16:06Z,low,"Service: com.life360.android.safetymapd, URL: https://com.life360.android.safetymapd/"
shahhafiz2016@google.com,redline,2022-07-02T15:33:55Z,high,Service: www.herozerogame.com
imwayfun@google.com,eternity,2022-08-26T10:08:05Z,high,Service: buddyplay.net
rlarua1229@google.com,redline,2024-01-08T16:01:53Z,low,"Service: www.netflix.com, URL: https://www.netflix.com/signup/regform"
filbus89@google.com,redline,2022-07-07T17:09:13Z,high,Service: flashhaiti.com
porttitor.tellus.non@google.com,DTM Alert,2024-07-03T15:16:06Z,low,Service: unijuba.mycportal.com
filbus89@google.com,redline,2022-07-07T17:09:13Z,high,"Service: flashhaiti.com, URL: https://flashhaiti.com/login"
